opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP000082,,ACC000825,Opportunity 82,Closed Lost,110.66,0.4,,2024-05-24,Referral,New Customer,2
OPP000083,,ACC000710,Opportunity 83,Qualification,726.89,0.45,,2025-03-14,Referral,Upgrade,8
OPP000084,9929,ACC000755,Opportunity 84,Closed Won,1666.4,1.0,2025-08-21,2025-08-12,Email,Upgrade,1
OPP000085,,ACC000212,Opportunity 85,Closed Lost,843.21,0.48,,2024-09-26,Social Media,New Customer,15
OPP000086,,ACC000786,Opportunity 86,Qualification,1354.61,0.62,,2024-12-21,Social Media,New Customer,9
OPP000087,,ACC000410,Opportunity 87,Prospecting,584.15,0.48,,2024-07-18,Email,New Customer,8
OPP000088,,ACC000208,Opportunity 88,Closed Lost,513.55,0.23,,2024-05-29,Referral,New Customer,11
OPP000089,14174,ACC000513,Opportunity 89,Closed Won,380.44,1.0,2024-03-25,2024-03-02,Email,Upgrade,2
OPP000090,,ACC000911,Opportunity 90,Closed Lost,426.09,0.38,,2024-12-29,Referral,Upgrade,14
OPP000091,,ACC000870,Opportunity 91,Negotiation,160.32,0.41,,2025-09-27,Referral,New Customer,14
OPP000092,2758,ACC000547,Opportunity 92,Closed Won,1369.88,1.0,2025-02-09,2025-01-23,Email,Renewal,2
OPP000093,,ACC000512,Opportunity 93,Closed Lost,508.89,0.59,,2024-10-16,Email,Renewal,10
OPP000094,,ACC000436,Opportunity 94,Prospecting,601.36,0.13,,2025-08-13,Social Media,Upgrade,3
OPP000095,6015,ACC000577,Opportunity 95,Closed Won,1970.16,1.0,2025-09-02,2025-07-03,Email,Upgrade,3
OPP000096,,ACC000797,Opportunity 96,Prospecting,764.5,0.55,,2025-07-23,Social Media,Renewal,5
OPP000097,,ACC000901,Opportunity 97,Prospecting,1117.99,0.17,,2025-01-13,Paid Search,Upgrade,9
OPP000098,,ACC000944,Opportunity 98,Closed Lost,485.55,0.51,,2024-02-16,Paid Search,Upgrade,1
OPP000099,,ACC000915,Opportunity 99,Negotiation,356.56,0.6,,2024-09-28,Referral,Upgrade,7
OPP000100,,ACC000956,Opportunity 100,Closed Lost,656.34,0.4,,2025-05-28,Email,Renewal,1
OPP000101,7952,ACC000574,Opportunity 101,Closed Won,1747.79,1.0,2025-11-11,2025-08-17,Email,Upgrade,7
OPP000102,,ACC000184,Opportunity 102,Qualification,137.61,0.68,,2025-10-08,Social Media,New Customer,6
OPP000103,,ACC000135,Opportunity 103,Closed Lost,936.57,0.5,,2024-05-19,Referral,Renewal,8
OPP000104,2238,ACC000977,Opportunity 104,Closed Won,767.78,1.0,2024-12-13,2024-09-21,Email,Upgrade,1
OPP000105,,ACC000120,Opportunity 105,Closed Lost,355.44,0.64,,2024-05-03,Social Media,Renewal,15
OPP000106,,ACC000684,Opportunity 106,Qualification,1132.16,0.33,,2025-01-22,Paid Search,New Customer,9
OPP000107,2256,ACC000926,Opportunity 107,Closed Won,436.95,1.0,2026-03-04,2025-12-07,Social Media,New Customer,8
OPP000108,5350,ACC000401,Opportunity 108,Closed Won,1001.52,1.0,2025-08-04,2025-05-25,Referral,Renewal,3
OPP000109,9244,ACC000468,Opportunity 109,Closed Won,1824.78,1.0,2025-03-04,2024-12-07,Social Media,Renewal,15
OPP000110,,ACC000364,Opportunity 110,Prospecting,490.2,0.71,,2025-08-08,Email,New Customer,4
OPP000111,10970,ACC000050,Opportunity 111,Closed Won,429.72,1.0,2024-04-07,2024-03-12,Referral,New Customer,14
OPP000112,,ACC000601,Opportunity 112,Closed Lost,322.64,0.2,,2024-08-09,Email,New Customer,2
OPP000113,,ACC000816,Opportunity 113,Closed Lost,980.22,0.66,,2024-05-04,Referral,Renewal,7
OPP000114,1364,ACC000393,Opportunity 114,Closed Won,850.25,1.0,2025-09-14,2025-08-31,Email,Upgrade,5
OPP000115,13453,ACC000436,Opportunity 115,Closed Won,1334.03,1.0,2025-11-21,2025-09-13,Email,Renewal,5
OPP000116,,ACC000185,Opportunity 116,Negotiation,938.31,0.59,,2024-07-19,Paid Search,New Customer,15
OPP000117,,ACC000121,Opportunity 117,Closed Lost,595.83,0.19,,2024-01-25,Social Media,Upgrade,8
OPP000118,,ACC000730,Opportunity 118,Closed Lost,397.66,0.75,,2024-03-30,Email,Renewal,3
OPP000119,,ACC000875,Opportunity 119,Closed Lost,1445.97,0.5,,2024-07-19,Referral,Renewal,7
OPP000120,,ACC000107,Opportunity 120,Prospecting,755.62,0.76,,2025-05-10,Paid Search,New Customer,10
OPP000121,,ACC000758,Opportunity 121,Qualification,1110.59,0.59,,2025-08-25,Social Media,Renewal,5
OPP000122,,ACC000121,Opportunity 122,Qualification,470.01,0.7,,2025-08-08,Referral,Renewal,5
OPP000123,,ACC000628,Opportunity 123,Qualification,352.22,0.59,,2024-04-23,Referral,Renewal,3
OPP000124,5105,ACC000719,Opportunity 124,Closed Won,1077.3,1.0,2024-06-29,2024-05-30,Referral,New Customer,7
OPP000125,3340,ACC000333,Opportunity 125,Closed Won,1027.45,1.0,2025-12-12,2025-11-18,Social Media,Renewal,9
OPP000126,10342,ACC000802,Opportunity 126,Closed Won,1821.76,1.0,2025-11-10,2025-10-20,Referral,Upgrade,10
OPP000127,5892,ACC000230,Opportunity 127,Closed Won,608.05,1.0,2024-06-09,2024-05-19,Social Media,Renewal,12
OPP000128,,ACC000190,Opportunity 128,Qualification,522.8,0.46,,2025-01-03,Social Media,Upgrade,14
OPP000129,,ACC000604,Opportunity 129,Prospecting,238.54,0.41,,2025-07-26,Social Media,New Customer,4
OPP000130,,ACC000828,Opportunity 130,Negotiation,387.73,0.57,,2024-06-28,Social Media,Renewal,14
OPP000131,,ACC000364,Opportunity 131,Closed Lost,535.57,0.7,,2024-06-01,Email,Renewal,11
OPP000132,12587,ACC000259,Opportunity 132,Closed Won,1619.77,1.0,2024-02-24,2024-02-01,Social Media,New Customer,14
OPP000133,,ACC000769,Opportunity 133,Qualification,1387.78,0.13,,2025-03-26,Referral,Renewal,11
OPP000134,,ACC000360,Opportunity 134,Closed Lost,182.52,0.71,,2025-03-12,Paid Search,Renewal,15
OPP000135,,ACC000776,Opportunity 135,Negotiation,1467.94,0.53,,2024-07-29,Referral,Renewal,7
OPP000136,,ACC000040,Opportunity 136,Prospecting,783.24,0.78,,2025-08-31,Email,Renewal,11
OPP000137,,ACC000854,Opportunity 137,Qualification,753.35,0.37,,2024-11-29,Paid Search,Upgrade,15
OPP000138,12378,ACC000314,Opportunity 138,Closed Won,1358.27,1.0,2025-10-17,2025-10-01,Referral,New Customer,5
OPP000139,,ACC000284,Opportunity 139,Negotiation,107.76,0.66,,2024-04-20,Paid Search,Upgrade,8
OPP000140,13136,ACC000739,Opportunity 140,Closed Won,774.71,1.0,2024-05-25,2024-05-08,Referral,New Customer,10
OPP000141,,ACC000736,Opportunity 141,Negotiation,1280.76,0.69,,2025-07-11,Paid Search,Renewal,11
OPP000142,13301,ACC000979,Opportunity 142,Closed Won,1532.78,1.0,2024-05-25,2024-03-16,Email,Renewal,15
OPP000143,,ACC000087,Opportunity 143,Closed Lost,1005.76,0.27,,2024-09-13,Paid Search,Upgrade,7
OPP000144,,ACC000931,Opportunity 144,Prospecting,594.32,0.13,,2024-08-25,Paid Search,Upgrade,2
OPP000145,,ACC000068,Opportunity 145,Negotiation,363.72,0.67,,2024-03-21,Email,Renewal,9
OPP000146,5569,ACC000766,Opportunity 146,Closed Won,821.22,1.0,2025-06-01,2025-05-01,Email,Renewal,5
OPP000147,9734,ACC000494,Opportunity 147,Closed Won,1315.74,1.0,2024-10-14,2024-07-18,Social Media,Renewal,1
OPP000148,,ACC000629,Opportunity 148,Negotiation,1085.88,0.64,,2025-03-27,Paid Search,New Customer,3
OPP000149,,ACC000215,Opportunity 149,Closed Lost,629.59,0.44,,2024-01-19,Referral,Renewal,9
OPP000150,,ACC000177,Opportunity 150,Closed Lost,154.57,0.27,,2024-10-21,Paid Search,Upgrade,14
OPP000151,,ACC000119,Opportunity 151,Closed Lost,1195.27,0.69,,2025-07-17,Paid Search,New Customer,11
OPP000152,11549,ACC000934,Opportunity 152,Closed Won,476.63,1.0,2025-08-28,2025-08-20,Referral,New Customer,9
OPP000153,9818,ACC000742,Opportunity 153,Closed Won,1216.24,1.0,2025-03-12,2025-02-03,Email,Upgrade,4
OPP000154,7960,ACC000790,Opportunity 154,Closed Won,1785.97,1.0,2025-07-18,2025-04-22,Referral,Renewal,4
OPP000155,1767,ACC000326,Opportunity 155,Closed Won,1025.51,1.0,2025-07-27,2025-07-20,Social Media,New Customer,7
OPP000156,,ACC000289,Opportunity 156,Negotiation,1431.65,0.4,,2025-11-29,Referral,Upgrade,3
OPP000157,13588,ACC000699,Opportunity 157,Closed Won,982.27,1.0,2025-07-23,2025-06-17,Referral,Upgrade,3
OPP000158,280,ACC000554,Opportunity 158,Closed Won,1128.03,1.0,2024-07-10,2024-04-27,Referral,Renewal,14
OPP000159,,ACC000306,Opportunity 159,Qualification,624.76,0.4,,2024-10-04,Paid Search,Upgrade,4
OPP000160,,ACC000088,Opportunity 160,Closed Lost,1416.71,0.49,,2024-05-15,Referral,New Customer,3
OPP000161,,ACC000265,Opportunity 161,Prospecting,1202.02,0.41,,2024-03-11,Referral,New Customer,13
OPP000162,,ACC000358,Opportunity 162,Qualification,1308.19,0.47,,2025-08-01,Referral,Renewal,14
OPP000163,,ACC000097,Opportunity 163,Qualification,1365.11,0.11,,2024-07-10,Email,Upgrade,11
OPP000164,5550,ACC000860,Opportunity 164,Closed Won,661.08,1.0,2025-05-14,2025-04-19,Referral,Renewal,3
OPP000165,8460,ACC000750,Opportunity 165,Closed Won,1339.84,1.0,2025-06-24,2025-04-21,Email,Renewal,12
OPP000166,,ACC000882,Opportunity 166,Qualification,244.73,0.18,,2024-05-02,Paid Search,Renewal,9
OPP000167,,ACC000030,Opportunity 167,Closed Lost,130.22,0.74,,2024-10-28,Referral,Renewal,13
OPP000168,14346,ACC000540,Opportunity 168,Closed Won,1807.0,1.0,2025-12-22,2025-11-06,Paid Search,Upgrade,2
OPP000169,12657,ACC000005,Opportunity 169,Closed Won,601.4,1.0,2024-12-09,2024-09-11,Email,Upgrade,5
OPP000170,996,ACC000924,Opportunity 170,Closed Won,818.34,1.0,2025-10-03,2025-07-15,Social Media,Upgrade,10
OPP000171,13102,ACC000546,Opportunity 171,Closed Won,1099.21,1.0,2025-02-03,2025-01-17,Email,Renewal,13
OPP000172,,ACC000179,Opportunity 172,Qualification,1031.73,0.16,,2025-10-31,Paid Search,New Customer,3
OPP000173,,ACC000655,Opportunity 173,Negotiation,209.59,0.65,,2024-10-01,Paid Search,Upgrade,7
OPP000174,9406,ACC000787,Opportunity 174,Closed Won,886.41,1.0,2024-04-19,2024-04-11,Referral,New Customer,15
OPP000175,,ACC000758,Opportunity 175,Negotiation,743.06,0.44,,2025-06-12,Referral,Upgrade,6
OPP000176,9412,ACC000153,Opportunity 176,Closed Won,722.39,1.0,2024-11-16,2024-09-22,Social Media,Renewal,14
OPP000177,,ACC000822,Opportunity 177,Negotiation,177.95,0.44,,2024-12-14,Paid Search,Upgrade,3
OPP000178,,ACC000307,Opportunity 178,Prospecting,1157.25,0.67,,2025-05-17,Referral,Renewal,9
OPP000179,,ACC000098,Opportunity 179,Negotiation,886.48,0.41,,2024-07-29,Referral,Upgrade,9
OPP000180,,ACC000007,Opportunity 180,Qualification,237.5,0.64,,2024-08-29,Paid Search,Upgrade,10
OPP000181,,ACC000907,Opportunity 181,Qualification,1164.71,0.63,,2025-08-20,Social Media,Upgrade,10
OPP000182,1805,ACC000987,Opportunity 182,Closed Won,1347.25,1.0,2024-12-21,2024-12-03,Referral,Renewal,11
OPP000183,,ACC000075,Opportunity 183,Qualification,957.9,0.37,,2024-11-07,Paid Search,New Customer,14
OPP000184,,ACC000461,Opportunity 184,Negotiation,601.2,0.29,,2024-09-23,Paid Search,Renewal,12
OPP000185,,ACC000212,Opportunity 185,Closed Lost,1336.39,0.25,,2025-10-16,Paid Search,Upgrade,14
OPP000186,,ACC000620,Opportunity 186,Negotiation,729.07,0.65,,2024-12-20,Email,New Customer,14
OPP000187,7050,ACC000145,Opportunity 187,Closed Won,584.79,1.0,2024-04-29,2024-03-15,Referral,Upgrade,14
OPP000188,,ACC000227,Opportunity 188,Prospecting,1029.06,0.48,,2025-02-21,Paid Search,Upgrade,4
OPP000189,,ACC000819,Opportunity 189,Prospecting,188.68,0.33,,2025-05-09,Referral,New Customer,2
OPP000190,,ACC000235,Opportunity 190,Qualification,231.7,0.41,,2024-09-07,Email,Upgrade,12
OPP000191,,ACC000020,Opportunity 191,Closed Lost,1000.02,0.49,,2025-04-24,Referral,New Customer,15
OPP000192,,ACC000377,Opportunity 192,Closed Lost,161.93,0.31,,2024-01-05,Paid Search,New Customer,12
OPP000193,,ACC000616,Opportunity 193,Negotiation,762.32,0.1,,2025-07-26,Email,Upgrade,6
OPP000194,,ACC000065,Opportunity 194,Closed Lost,649.62,0.16,,2024-10-18,Referral,Upgrade,6
OPP000195,11427,ACC000762,Opportunity 195,Closed Won,360.57,1.0,2024-01-30,2024-01-17,Email,New Customer,12
OPP000196,3673,ACC000847,Opportunity 196,Closed Won,1961.18,1.0,2024-07-18,2024-06-10,Paid Search,Upgrade,3
OPP000197,10909,ACC000710,Opportunity 197,Closed Won,636.08,1.0,2025-12-20,2025-11-03,Social Media,New Customer,5
OPP000198,,ACC000564,Opportunity 198,Closed Lost,425.6,0.34,,2024-06-19,Paid Search,Renewal,9
OPP000199,,ACC000479,Opportunity 199,Prospecting,1248.94,0.54,,2024-09-03,Email,Renewal,4
OPP000200,,ACC000305,Opportunity 200,Closed Lost,1343.98,0.47,,2024-12-08,Email,Renewal,4
OPP000201,,ACC000190,Opportunity 201,Qualification,202.17,0.51,,2024-07-26,Paid Search,Renewal,1
OPP000202,2788,ACC000911,Opportunity 202,Closed Won,1608.56,1.0,2024-10-16,2024-09-27,Email,Upgrade,5
OPP000203,,ACC000120,Opportunity 203,Negotiation,922.64,0.23,,2025-11-20,Email,New Customer,6
OPP000204,5350,ACC000235,Opportunity 204,Closed Won,526.12,1.0,2024-10-01,2024-09-07,Paid Search,New Customer,9
OPP000205,13741,ACC000855,Opportunity 205,Closed Won,462.29,1.0,2025-03-24,2025-02-01,Email,New Customer,4
OPP000206,,ACC000001,Opportunity 206,Qualification,1037.77,0.42,,2024-03-29,Social Media,Renewal,1
OPP000207,8542,ACC000467,Opportunity 207,Closed Won,1940.58,1.0,2025-03-16,2025-02-11,Referral,Renewal,2
OPP000208,5744,ACC000693,Opportunity 208,Closed Won,1607.03,1.0,2024-09-04,2024-08-24,Email,Renewal,6
OPP000209,14606,ACC000794,Opportunity 209,Closed Won,257.24,1.0,2025-10-15,2025-09-08,Social Media,Upgrade,14
OPP000210,,ACC000795,Opportunity 210,Negotiation,507.98,0.56,,2024-11-29,Email,Upgrade,8
OPP000211,,ACC000746,Opportunity 211,Qualification,1424.07,0.44,,2025-11-27,Email,Renewal,3
OPP000212,,ACC000668,Opportunity 212,Closed Lost,1162.32,0.39,,2025-01-23,Referral,Renewal,12
OPP000213,13176,ACC000652,Opportunity 213,Closed Won,1146.43,1.0,2024-12-23,2024-11-06,Paid Search,New Customer,15
OPP000214,8313,ACC000441,Opportunity 214,Closed Won,1458.76,1.0,2024-10-15,2024-08-04,Email,Renewal,7
OPP000215,4529,ACC000309,Opportunity 215,Closed Won,1513.8,1.0,2024-09-13,2024-08-29,Email,New Customer,6
OPP000216,,ACC000309,Opportunity 216,Qualification,1332.09,0.68,,2025-06-06,Referral,New Customer,7
OPP000217,,ACC000703,Opportunity 217,Prospecting,388.96,0.11,,2024-04-26,Paid Search,Upgrade,10
OPP000218,5278,ACC000329,Opportunity 218,Closed Won,829.65,1.0,2025-09-17,2025-07-26,Social Media,New Customer,13
OPP000219,,ACC000802,Opportunity 219,Negotiation,1474.53,0.65,,2025-07-01,Social Media,Renewal,7
OPP000220,,ACC000200,Opportunity 220,Qualification,1222.44,0.76,,2024-02-08,Referral,New Customer,10
OPP000221,3057,ACC000338,Opportunity 221,Closed Won,661.48,1.0,2025-03-25,2025-02-01,Social Media,Upgrade,1
OPP000222,,ACC000245,Opportunity 222,Qualification,380.95,0.42,,2024-06-04,Referral,Upgrade,6
OPP000223,,ACC000081,Opportunity 223,Closed Lost,1094.88,0.79,,2024-04-05,Social Media,Upgrade,9
OPP000224,2784,ACC000019,Opportunity 224,Closed Won,1208.79,1.0,2024-05-04,2024-04-23,Referral,Upgrade,11
OPP000225,,ACC000049,Opportunity 225,Negotiation,128.75,0.26,,2024-10-15,Email,New Customer,4
OPP000226,7553,ACC000243,Opportunity 226,Closed Won,1146.51,1.0,2025-02-02,2024-11-29,Email,Upgrade,4
OPP000227,,ACC000274,Opportunity 227,Qualification,775.27,0.75,,2025-03-22,Referral,New Customer,15
OPP000228,,ACC000229,Opportunity 228,Negotiation,1437.81,0.24,,2025-09-05,Social Media,New Customer,3
OPP000229,,ACC000949,Opportunity 229,Closed Lost,1237.27,0.24,,2024-07-25,Referral,Renewal,13
OPP000230,,ACC000562,Opportunity 230,Negotiation,949.28,0.43,,2025-12-11,Social Media,New Customer,8
OPP000231,,ACC000775,Opportunity 231,Closed Lost,782.68,0.52,,2025-08-01,Paid Search,Upgrade,14
OPP000232,12525,ACC000727,Opportunity 232,Closed Won,804.95,1.0,2025-02-12,2024-12-03,Email,Upgrade,2
OPP000233,13723,ACC000827,Opportunity 233,Closed Won,798.5,1.0,2025-12-06,2025-10-29,Email,New Customer,1
OPP000234,,ACC000354,Opportunity 234,Closed Lost,1006.99,0.56,,2025-05-16,Email,Renewal,15
OPP000235,7233,ACC000812,Opportunity 235,Closed Won,1650.98,1.0,2025-09-26,2025-09-12,Social Media,New Customer,10
OPP000236,6587,ACC000640,Opportunity 236,Closed Won,832.36,1.0,2024-04-08,2024-04-01,Paid Search,Renewal,13
